death_year,state_abbr,state_name,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
2016,SD,SOUTH DAKOTA,546356,264219,282137,1.84,2.34,3.55,8.38,83.89,6270,1147,3831,498,3333
2015,SD,SOUTH DAKOTA,543681,263414,280267,1.66,2.11,3.39,8.39,84.45,5841,1074,3564,416,3148
2019,TN,TENNESSEE,4477682,2248560,2229122,2.3,17.86,5.54,0.32,73.98,51521,1150,26349,2734,23615
2018,TN,TENNESSEE,4457385,2240240,2217145,2.26,17.89,5.36,0.32,74.17,51049,1145,26321,2679,23642
2017,TN,TENNESSEE,4425635,2226956,2198679,2.17,17.9,5.17,0.32,74.44,51725,1168,28980,3011,25969
2016,TN,TENNESSEE,4391795,2213692,2178103,2.1,17.88,4.98,0.32,74.72,51082,1163,28203,2722,25481
2015,TN,TENNESSEE,4364247,2202772,2161475,2.04,17.87,4.85,0.32,74.93,47838,1096,28172,2640,25532
2019,TX,TEXAS,19096536,9421197,9675339,5.76,13.0,39.8,0.38,41.05,217845,1140,158429,13642,144787
2018,TX,TEXAS,18883829,9329167,9554662,5.65,12.92,39.44,0.39,41.61,221059,1170,163628,14435,149193
2017,TX,TEXAS,18696190,9246545,9449645,5.54,12.83,39.05,0.39,42.19,220556,1179,162523,13958,148565
2016,TX,TEXAS,18480179,9152095,9328084,5.39,12.73,38.66,0.39,42.83,221205,1196,163703,14335,149368
2015,TX,TEXAS,18215199,9033114,9182085,5.22,12.64,38.28,0.39,43.48,222119,1219,163909,14408,149501
2019,US,NATIONAL TOTAL,215539865,106945862,108594003,6.86,13.5,18.86,0.84,59.94,2076371,963,1417646,106322,1311324
2018,US,NATIONAL TOTAL,215195018,106923626,108271392,6.75,13.43,18.55,0.84,60.42,2112076,981,1451496,109249,1342247
2017,US,NATIONAL TOTAL,214686909,106809129,107877780,6.64,13.38,18.22,0.84,60.92,2135219,994,1476226,109758,1366468
