state_name,death_year,age_range,death_count
MASSACHUSETTS,2016,≥ 71,8
MASSACHUSETTS,2017,≤ 20,0
MASSACHUSETTS,2017,21-30,2
MASSACHUSETTS,2017,31-40,1
MASSACHUSETTS,2017,41-50,2
MASSACHUSETTS,2017,51-60,8
MASSACHUSETTS,2017,61-70,11
MASSACHUSETTS,2017,≥ 71,13
MASSACHUSETTS,2018,≤ 20,0
MASSACHUSETTS,2018,21-30,3
MASSACHUSETTS,2018,31-40,3
MASSACHUSETTS,2018,41-50,5
MASSACHUSETTS,2018,51-60,7
MASSACHUSETTS,2018,61-70,12
MASSACHUSETTS,2018,≥ 71,12
MASSACHUSETTS,2019,≤ 20,0
MASSACHUSETTS,2019,21-30,1
MASSACHUSETTS,2019,31-40,2
MASSACHUSETTS,2019,41-50,2
MASSACHUSETTS,2019,51-60,10
MASSACHUSETTS,2019,61-70,9
MASSACHUSETTS,2019,≥ 71,10
MICHIGAN,2015,≤ 20,1
MICHIGAN,2015,21-30,2
MICHIGAN,2015,31-40,4
MICHIGAN,2015,41-50,4
MICHIGAN,2015,51-60,6
MICHIGAN,2015,61-70,12
MICHIGAN,2015,≥ 71,5
MICHIGAN,2016,≤ 20,0
MICHIGAN,2016,21-30,7
MICHIGAN,2016,31-40,7
MICHIGAN,2016,41-50,11
MICHIGAN,2016,51-60,34
MICHIGAN,2016,61-70,28
MICHIGAN,2016,≥ 71,19
MICHIGAN,2017,≤ 20,0
MICHIGAN,2017,21-30,8
MICHIGAN,2017,31-40,5
MICHIGAN,2017,41-50,11
MICHIGAN,2017,51-60,25
MICHIGAN,2017,61-70,34
MICHIGAN,2017,≥ 71,23
MICHIGAN,2018,≤ 20,0
MICHIGAN,2018,21-30,2
MICHIGAN,2018,31-40,20
MICHIGAN,2018,41-50,16
MICHIGAN,2018,51-60,18
MICHIGAN,2018,61-70,45
MICHIGAN,2018,≥ 71,34
MICHIGAN,2019,≤ 20,0
MICHIGAN,2019,21-30,4
MICHIGAN,2019,31-40,10
MICHIGAN,2019,41-50,20
MICHIGAN,2019,51-60,21
MICHIGAN,2019,61-70,33
MICHIGAN,2019,≥ 71,28
MINNESOTA,2015,≤ 20,0
MINNESOTA,2015,21-30,0
MINNESOTA,2015,31-40,1
MINNESOTA,2015,41-50,1
MINNESOTA,2015,51-60,0
MINNESOTA,2015,61-70,0
MINNESOTA,2015,≥ 71,0
MINNESOTA,2016,≤ 20,0
MINNESOTA,2016,21-30,0
MINNESOTA,2016,31-40,0
MINNESOTA,2016,41-50,0
MINNESOTA,2016,51-60,9
MINNESOTA,2016,61-70,5
MINNESOTA,2016,≥ 71,4
MINNESOTA,2017,≤ 20,0
MINNESOTA,2017,21-30,0
MINNESOTA,2017,31-40,3
MINNESOTA,2017,41-50,0
MINNESOTA,2017,51-60,1
MINNESOTA,2017,61-70,2
MINNESOTA,2017,≥ 71,0
MINNESOTA,2018,≤ 20,0
MINNESOTA,2018,21-30,2
MINNESOTA,2018,31-40,0
MINNESOTA,2018,41-50,0
MINNESOTA,2018,51-60,3
MINNESOTA,2018,61-70,0
MINNESOTA,2018,≥ 71,1
MINNESOTA,2019,≤ 20,0
MINNESOTA,2019,21-30,0
MINNESOTA,2019,31-40,1
MINNESOTA,2019,41-50,2
MINNESOTA,2019,51-60,3
MINNESOTA,2019,61-70,3
MINNESOTA,2019,≥ 71,1
MISSISSIPPI,2015,≤ 20,0
MISSISSIPPI,2015,21-30,0
MISSISSIPPI,2015,31-40,1
MISSISSIPPI,2015,41-50,2
MISSISSIPPI,2015,51-60,2
MISSISSIPPI,2015,61-70,1
MISSISSIPPI,2015,≥ 71,3
MISSISSIPPI,2016,≤ 20,0
MISSISSIPPI,2016,21-30,8
MISSISSIPPI,2016,31-40,8
MISSISSIPPI,2016,41-50,6
MISSISSIPPI,2016,51-60,21
MISSISSIPPI,2016,61-70,12
MISSISSIPPI,2016,≥ 71,10
MISSISSIPPI,2017,≤ 20,1
MISSISSIPPI,2017,21-30,3
MISSISSIPPI,2017,31-40,14
MISSISSIPPI,2017,41-50,13
MISSISSIPPI,2017,51-60,20
MISSISSIPPI,2017,61-70,14
MISSISSIPPI,2017,≥ 71,11
MISSISSIPPI,2018,≤ 20,1
